name,rating,totalShots,accurateLongBalls,position,successfulDribbles,goals,tackles,interceptions,assists,accuratePasses,appearances,shotsOnTarget,type,keyPasses
Mohamed Salah,7.8125,24,11,F,15,5,5,2,5,180,8,16,overall,16
Luis Díaz,7.525,17,6,F,11,5,8,2,1,159,8,9,overall,10
Caoimhin Kelleher,7.5,,,G,,,,,,56,2,,overall,
Virgil van Dijk,7.3125,5,33,D,1,,4,18,,584,8,1,overall,2
Ryan Gravenberch,7.2625,3,12,M,7,,16,12,,460,8,2,overall,4
Ibrahima Konaté,7.25,5,14,D,1,1,9,3,1,464,8,2,overall,2
Trent Alexander-Arnold,7.1875,8,24,D,4,,21,6,1,282,8,2,overall,17
Alisson,7.1666666666667,,,G,,,,,,159,6,,overall,
Curtis Jones,7.12,5,3,M,4,1,6,1,,113,5,3,overall,4
Dominik Szoboszlai,7.1,12,12,M,6,,4,3,1,306,8,3,overall,12
Jarell Quansah,7.1,,,D,,,2,1,,25,1,,overall,
Vítězslav Jaroš,7.1,,,G,,,,,,4,1,,overall,
Alexis Mac Allister,7.025,4,16,M,1,,20,3,,291,8,2,overall,8
Cody Gakpo,6.9875,7,4,F,6,,8,3,1,83,8,,overall,9
Andrew Robertson,6.975,3,12,D,2,,8,3,,344,8,2,overall,10
Darwin Núñez,6.88,4,2,F,1,1,9,,,28,5,2,overall,1
Konstantinos Tsimikas,6.825,1,6,D,1,,3,2,,91,4,,overall,1
Joe Gomez,6.8,,,D,,,4,1,,5,2,,overall,
Diogo Jota,6.7142857142857,14,3,F,2,2,3,3,2,70,7,3,overall,3
Conor Bradley,6.7,2,,D,1,,,2,,61,4,1,overall,
Wataru Endo,6.7,,,M,,,,,,6,2,,overall,1
Harvey Elliott,6.6,,,M,,,,,,11,1,,overall,
Federico Chiesa,6.4,2,,F,,,,,,7,1,1,overall,
